question_id;study;item_admin;item;language;country;coder;last_updated_coding;WH_word;absolute;balance;centrality;concept;conc_complex;conc_simple;scale_corres;domain;dom_consumer;dom_european;dom_family;dom_health;intpoldomain;dom_leisure;dom_backgrou;natpoldomain;dom_other;dom_personal;dom_work;dont_know;subjectiveop;motivation;form_basic;showc_horiz;opinionother;instr_interv;intropresent;knowledge;labels;labels_gramm;scale_max;scal_neutral;ncategories;fixrefpoints;nfrequencies;nsents_intro;nsents_quest;nsub_quest;numsub_intro;nsyll_ans;nwords_intro;nwords_quest;showc_letter;labels_order;showc_over;encourage;showc_quest;question;scale_urange;ref_period;questiontype;intr_request;instr_respon;scale_basic;showc_boxes;usedshowcard;socdesir;showc_start;symmetry;scale_trange;nabst_ans;nabst_quest;nnouns_ans;nnouns_quest;nsyll_quest;gradation;stimulus;used_WH_word
9471;4;B6;TRSTPLC;ekk;EE;maarjasau;2010-03-11 05:12:33;.;0;.;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;2;.;0;0;1;.;0;0;.;2;0;.;3;11;2;.;.;1;0;.;13;.;2;1;1;1;.;0;.;0;2;.;.;0;0;0;1;1;0;.;1;0;1;0;1;5;.;1;.
9472;4;B23;LRSCALE;ekk;EE;maarjasau;2010-03-11 04:37:44;5;0;0;1;7;.;1;1;1;.;.;.;.;.;.;.;5;.;.;.;2;0;1;1;1;0;1;0;2;2;0;.;1;11;1;.;.;3;0;.;8;.;23;1;1;1;0;0;.;1;2;2;.;1;0;0;1;1;0;1;1;0;1;0;2;49;1;0;1
8510;4;B25;STFECO;ekk;EE;maarjasau;2010-03-08 01:32:14;10;0;1;3;2;.;.;1;1;.;.;.;.;.;.;.;12;.;.;.;2;0;0;2;1;0;0;0;.;2;0;.;1;11;2;.;.;1;0;.;10;.;8;1;1;1;0;0;.;0;2;1;.;0;0;0;1;0;0;.;1;0;1;0;1;25;1;0;1
8511;4;B26;STFGOV;ekk;EE;maarjasau;2010-03-08 01:58:05;10;0;1;3;2;.;.;1;1;.;.;.;.;.;.;.;1;.;.;.;2;0;0;2;1;0;0;0;.;2;0;.;1;11;2;.;.;1;0;.;10;.;6;1;1;1;0;0;.;0;2;1;.;0;0;0;1;0;0;.;1;0;2;0;2;14;1;0;1
8512;4;B27;STFDEM;ekk;EE;maarjasau;2010-03-08 02:07:54;10;0;1;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;2;0;0;2;1;0;0;0;.;2;0;.;1;11;2;.;.;1;0;.;10;.;10;1;1;1;0;0;.;0;2;1;.;0;0;0;1;0;0;.;1;0;1;0;1;27;1;0;1
8513;4;B30;GINCDIF;ekk;EE;maarjasau;2010-03-08 03:57:26;11;0;0;2;7;.;6;3;1;.;.;.;.;.;.;.;12;.;.;.;2;0;0;1;0;0;1;0;.;3;0;.;1;5;3;.;.;3;0;.;28;.;19;0;2;1;1;0;.;1;1;2;.;1;0;.;1;0;0;1;1;0;4;0;5;54;1;1;1
8514;4;B31;FREEHMS;ekk;EE;maarjasau;2010-03-08 04:06:22;.;0;.;2;7;.;6;3;1;.;.;.;.;.;.;.;1;.;.;.;2;.;0;0;0;.;1;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;14;0;2;1;.;0;.;1;1;.;.;1;0;.;1;1;0;1;1;0;4;0;4;28;.;1;.
8515;4;HS1;testc1;ekk;EE;maarjasau;2010-03-07 23:09:25;9;0;0;0;5;.;.;.;14;.;.;.;.;.;9;.;.;.;.;.;3;0;0;2;.;0;0;1;.;.;.;.;.;.;.;24;2;2;0;1;10;30;18;.;.;.;1;.;.;.;2;1;0;1;2;.;0;0;.;.;.;2;4;2;6;54;1;0;1
8516;4;HS2;testc2;ekk;EE;maarjasau;2010-03-07 23:32:58;9;0;0;0;5;.;.;.;14;.;.;.;.;.;8;.;.;.;.;.;3;0;0;2;.;0;0;0;.;.;.;.;.;.;.;24;.;2;0;.;10;.;18;.;.;.;1;.;.;.;2;1;.;1;2;.;0;0;.;.;.;2;4;2;7;53;1;0;1
8517;4;HS3;testc3;ekk;EE;maarjasau;2010-03-07 23:46:57;9;0;0;0;5;.;.;.;14;.;.;.;.;.;7;.;.;.;.;.;3;0;0;2;.;0;0;0;.;.;.;.;.;.;.;24;.;2;0;.;10;.;18;.;.;.;1;.;.;.;2;1;.;1;2;.;0;0;.;.;.;2;4;2;7;53;1;0;1
8518;4;HS4;testc4;ekk;EE;maarjasau;2010-03-08 00:34:55;.;0;0;0;2;.;.;.;11;.;.;.;.;.;.;.;.;.;4;.;3;1;0;1;.;0;0;0;.;.;.;.;.;.;.;.;.;2;1;.;11;.;18;.;.;.;0;.;.;.;2;1;.;1;1;.;0;0;.;.;.;0;1;0;2;41;0;0;0
8519;4;HS5;testc5;ekk;EE;maarjasau;2010-03-08 01:07:21;.;0;0;0;1;.;.;.;11;.;.;.;.;.;.;.;.;.;4;.;3;1;0;1;.;0;0;0;.;.;.;.;.;.;.;.;.;2;0;.;30;.;22;.;.;.;0;.;.;.;2;1;.;1;1;.;0;0;.;.;.;0;1;2;3;47;0;0;0
